Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
13-Sep,348,1.2,3.4,1.2,8.3,1.1,3.5,3,4.6,2.3,3.2,5.9,1,29,1.9,2.9,2.29,3.85,3.37,2.42,3.1,4.4,2.7,17,2.8,6.7,8.1,7.6,4.5,7.8,7.3,2,61,4.3,4.7,4.49,9.7,6.98,5.66,4.44,8.99,1.13,1.88,1194.59,1442.02
14-Sep,349,1.2,2.5,1.3,6.9,1,5.5,1.9,7.3,2,4.7,6.6,0.95,16,2.4,12,2.59,3.55,2.69,2.34,3,3.5,2.8,13,2.7,10,5.5,14,4.1,8,8.2,1.9,37,4.6,13,5.76,8.83,5,5.42,4.39,8.23,1.12,1.72,1195.71,1443.74
15-Sep,350,1.2,50,1.3,6.1,1.4,4.9,17,6.1,3.1,20.9,12,1,6.5,1.9,4.9,2.33,3.34,2.35,2.25,2.9,65,2.8,12,3,9.1,27,17,4,30.7,16,2,14,4.6,4.7,5.44,8.06,4.4,5.05,7.82,12.51,1.99,2.62,1197.7,1446.36
16-Sep,351,1.2,15,1.3,5.6,2,4.3,7.6,5.1,2,12.1,11,1,7.8,1.8,2.3,2.13,3.06,2.22,2.14,2.9,20,2.7,11,3.1,7.7,14,14,3.8,18.4,12,2,16,5.5,3.7,4.36,7.37,3.93,4.65,4.72,8.27,1.2,1.73,1198.91,1448.09
17-Sep,352,1.2,6.8,1.2,5.2,10,3.7,3.7,3.2,2,26.2,7.6,0.92,5.3,1.6,1.8,2,2.89,2.12,2.08,2.8,9.9,2.6,9.5,12,6.7,7.9,8.7,3.8,36.7,8.3,1.8,11,5.3,2.9,3.82,6.9,3.65,4.41,4.71,7.83,1.2,1.64,1200.11,1449.72
18-Sep,353,1.2,4.1,1.2,6,11,3.5,2.2,2.6,3.9,9.1,6.4,7.4,3.4,1.3,1.6,2.35,2.75,2.14,2.07,2.8,6.3,2.6,11,16,6.4,6,7.8,6.1,14.8,6.9,15,8.3,4.9,2.6,4.48,6.45,3.53,4.27,3.91,7.17,1,1.5,1201.1,1451.22
19-Sep,354,1.2,2.9,1.2,5,5.6,3.8,1.7,2.3,2.6,5.6,5.6,16,2.6,1.2,1.4,2.15,2.65,2.16,2,2.9,4.6,2.6,9.5,11,6.8,5.2,6.6,4.4,10.7,6.4,28,6.7,4.6,2.7,4.29,6.39,3.48,4.33,3.56,6.9,0.91,1.44,1202.01,1452.67
20-Sep,355,2,2.3,2.2,4.6,3.5,4.4,1.4,2.1,2.1,4.2,7.4,3.7,2.2,1.1,1.8,2.06,2.58,2.18,1.94,4.9,3.5,3.4,8.7,7.6,9.2,4.6,6,3.8,8.9,7.9,4.9,5.7,4.4,3.9,4.35,5.99,3.42,3.92,2.83,5.53,0.72,1.16,1202.73,1453.82
21-Sep,356,13,3.9,1.4,4.2,2.9,12,1.3,2.1,1.8,3.3,6.8,2.2,1.9,1.1,1.4,1.85,2.47,16.8,1.91,29,8,2.8,8,8.1,19,3.9,5.6,3.6,7.8,6.9,4.2,5.3,4.3,2.8,3.95,5.62,38.6,3.84,4.33,9.02,1.1,1.89,1203.84,1455.71
22-Sep,357,6.5,16,1.3,4,2.1,5.2,1.2,2,1.8,3.1,7.1,2,19,4.1,1.3,1.81,2.32,9.94,1.92,11,25,2.7,6.9,5.2,9.3,2.9,5.4,3.8,7.2,6.8,3.8,35,6.9,2.4,3.47,5.28,23.4,3.77,4.88,8.96,1.24,1.87,1205.08,1457.58
23-Sep,358,3.9,27,9.8,3.9,2.7,4.9,1.1,1.9,4.6,2.9,8.6,6.4,10,2.4,1.1,6.05,2.22,4.13,16.3,6.4,42,21,6,11,9,3.6,5.1,14,6.7,6.6,9.7,17,5.5,2.3,7.7,5.06,10.1,14.5,6.31,10.7,1.61,2.24,1206.69,1459.82
24-Sep,359,2.7,8,5.4,3.7,2.2,4.8,1,1.9,13,4.4,16,3.2,6.3,1.8,1.2,3.31,2.25,3.1,10.7,5,12,11,5.6,7.1,8.7,3.4,4.9,24,8.3,16,5.1,11,4.8,2.2,5.71,4.99,6.58,16.9,5,8.59,1.27,1.8,1207.96,1461.62
25-Sep,360,57,5,2.7,4.4,1.9,4.6,0.99,1.8,3.5,3.1,9.3,2,4.4,1.5,1.2,2.42,2.32,5.67,6.56,80,7.3,5.1,6,5.1,8.4,2.9,5,6.4,6.7,9.9,3.6,9,4.4,2.1,4.51,4.89,9.38,11.8,6.33,10.13,1.61,2.12,1209.58,1463.74
26-Sep,361,16,3.8,2.5,4.2,35,4.3,2.1,2.1,2.6,2.8,6.7,2,3.5,1.4,1.2,2.23,2.29,35.9,12.8,28,5.6,4.5,6.6,51,8.1,4.3,4.9,4.9,6.3,7.1,4,7.6,4.2,2.1,4.11,4.76,69.2,17.5,7.55,12.88,1.92,2.69,1211.5,1466.43
27-Sep,362,6.7,33,1.9,3.7,37,4,1.8,3.1,13,3.9,5.3,3.4,3,1.3,1.2,3.03,2.23,16,8.01,14,53,3.7,5.8,52,7,4.1,6.1,22,7.6,6,5.4,6.8,4,2.3,5.69,4.62,32.1,12.9,7.98,13.43,2.03,2.81,1213.53,1469.24
28-Sep,363,4.7,68,30,3.6,9,3.6,5.4,2.4,26,18.1,4.7,2.3,2.8,1.4,1.2,2.48,2.53,8.54,5.27,11,80,55,5.9,17,6.3,6.8,5.3,38,28,5,4,6.1,3.9,2.1,4.37,4.53,18.7,11.5,10.63,16.5,2.71,3.45,1216.24,1472.69
29-Sep,364,3.8,15,13,3.6,12,60,3.8,2.6,8.6,15.1,20,4.9,2.5,1.5,3.1,2.25,2.32,5.68,7.88,8.6,21,25,5.8,20,73,8.3,9.8,14,21,32,7.3,5.6,3.8,8.1,4.43,4.21,12.6,17.9,9.88,15.92,2.52,3.33,1218.76,1476.02
30-Sep,365,3.2,8.4,6.7,3.5,9.8,18,2.2,2.5,16,49.5,34,7.5,2.3,1.7,49,2.15,2.41,4.24,4.62,6.8,14,12,5.7,17,25,5.8,7,26,66.2,57,9,5.3,3.8,89,3.81,3.8,10,9.73,11.99,19.84,3.05,4.15,1221.82,1480.17
for Feb 29,,,,,2.8,,,,4.4,,,,2.3,,,,15.6,,,,,,,4.7,,,,6.5,,,,3.9,,,,18.1,,,,,,,,,
mm,,874,1156,957,1430,909,1612,1382,1448,1104,1232,1525,900,1385,1095,1073,1014,1493.726789,1019.721355,1611.820339,1185,1415,1133,1814,1060,1918,1534,1671,1350,1357,1932,1284,1632,1356,1308,1255.406604,1741.54511,1358.630128,1824.532992,1205,1463,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1381.798786,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.227151,,,,,,,,,,
