Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
8-May,220,18,22,13,12,9,10,35,31,33,25.7,25,48,14,17,25,24.2,22.2,24.1,34.1,53,58,32,27,19,22,61,65,63,38.7,55,97,48,47,78,64.2,41.7,68.9,56.7,23.28,52.38,5.93,10.95,830.99,932.95
9-May,221,17,14,13,10,9.3,9,39,18,53,27.3,21,44,14,15,23,13.6,16,25.5,22.5,56,30,30,23,24,21,71,42,94,40.8,49,89,45,45,79,27.4,29.3,79.2,43.4,21.27,48.32,5.42,10.11,836.41,943.05
10-May,222,16,14,10,9.4,12,8.2,39,15,124,18,20,43,11,59,26,10.4,13.2,25,157,54,40,25,23,35,22,73,37,205,28.5,52,86,31,153,91,19.5,24.6,86.5,219,33.17,68.69,8.45,14.37,844.86,957.42
11-May,223,15,11,11,13,13,7.7,33,14,39,22.5,19,65,13,24,46,9.12,11.8,15.8,56.5,55,23,30,41,42,22,68,34,56,28.1,55,124,38,73,119,19.1,24.5,57.2,90.8,23.13,52.62,5.89,11,850.76,968.42
12-May,224,27,11,34,9.5,18,7.5,20,12,23,26.4,17,24,11,18,60,8.35,11.4,9.64,27,75,19,69,28,45,24,41,30,35,30.3,49,43,22,63,136,21.4,25.5,35.7,46.9,19.73,44.15,5.03,9.23,855.79,977.65
13-May,225,24,48,26,7.9,8.6,26,13,10,17,21.9,17,16,8.8,14,28,9.88,11.1,9.14,20.3,60,59,52,25,20,40,27,28,28,28.5,52,27,15,48,64,29.6,28.3,36,37.9,17.72,37.12,4.52,7.76,860.3,985.42
14-May,226,12,61,25,6.9,7.2,30,11,10,15,23.2,20,13,8,13,16,10.1,13,10.9,31.3,28,69,51,22,16,36,22,29,25,31.4,59,20,12,57,32,26,34.3,50.3,42.5,17.72,34.87,4.52,7.29,864.82,992.71
15-May,227,9.3,41,15,13,8.1,15,19,12,14,20.2,67,44,7.5,13,12,22.6,57.7,26.9,27.8,22,55,30,35,19,22,38,35,26,33.1,129,82,11,62,23,39.3,96.9,85.7,37.1,23.43,46.37,5.97,9.7,870.79,1002.41
16-May,228,8.1,53,12,14,8.6,13,90,9.4,18,16.6,81,38,6.9,14,9.8,16.6,19.8,12.7,21.6,21,66,25,33,20,21,128,25,33,31.4,143,60,11,80,20,23.6,47.3,45.8,35.3,24.37,45.76,6.21,9.57,877,1011.98
17-May,229,7.5,126,9.8,8.2,7.2,47,42,7.3,41,12.2,46,20,6.5,61,8.6,14.7,14.2,9.42,25.3,21,176,21,19,16,79,60,21,61,21.6,83,32,11,126,20,22.2,44.3,40.5,45.7,27.05,48.44,6.89,10.13,883.89,1022.11
