Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19
6-Jun,249,3.8232,6.372,1.809648,2.03904,0.866592,2.16648,2.497824,13.76352,1.197936,11.749968,1.860624,1.835136,1.962576,2.217456,4.07808,6.397488,10.06776,1.0628496,8.309088,6.483101538,9.410953846,2.509587692,3.555249231,1.610318769,2.927852308,3.346116923,17.14884923,1.735798154,15.68492308,2.509587692,1.129314462,2.509587692,2.300455385,3.973513846,5.897531077,10.66574769,2.195889231,6.964105846
7-Jun,250,2.80368,2.523312,1.682208,1.78416,0.790128,1.78416,1.860624,5.86224,1.121472,7.90128,1.554768,1.427328,7.39152,1.937088,2.29392,2.905632,6.652368,0.9379584,3.69576,4.391778462,3.764381538,2.300455385,3.136984615,1.484839385,2.300455385,2.509587692,7.737895385,1.652145231,9.975611077,2.300455385,1.087488,12.12967385,1.275707077,2.71872,2.112236308,7.361457231,1.886373415,4.245385846
8-Jun,251,1.988064,1.9116,1.631232,1.503792,0.713664,1.886112,1.503792,3.31344,1.070496,2.650752,1.376352,1.376352,8.41104,1.248912,4.58784,4.20552,3.517344,0.8385552,2.67624,3.346116923,2.927852308,2.091323077,2.71872,1.317533538,2.300455385,1.882190769,4.810043077,1.547579077,3.806208,1.965843692,1.526665846,10.24748308,1.171140923,7.737895385,6.629494154,4.747303385,1.633323323,3.492509538
9-Jun,252,1.580256,1.631232,1.452816,2.395872,0.841104,2.013552,1.886112,2.319408,1.503792,1.860624,1.809648,1.52928,5.35248,0.994032,41.54544,8.207136,2.752704,0.7315056,2.2072608,2.71872,2.509587692,2.007670154,4.810043077,1.422099692,1.317533538,2.091323077,3.555249231,2.049496615,2.739633231,2.300455385,1.568492308,6.901366154,2.049496615,35.76162462,13.82364554,4.07808,1.4409216,2.969678769
10-Jun,253,1.325376,1.40184,1.835136,2.5488,0.841104,29.56608,1.350864,5.35248,1.2744,7.977744,1.580256,1.095984,3.05856,0.866592,27.78192,3.976128,2.2480416,0.6779808,1.8937584,2.300455385,2.091323077,2.71872,4.810043077,1.401186462,29.06939077,1.840364308,7.528763077,1.840364308,10.72848738,2.049496615,1.317533538,4.391778462,1.673058462,29.06939077,5.416526769,3.387943385,1.355177354,2.635067077
11-Jun,254,1.376352,8.66592,1.605744,1.554768,0.662688,24.46848,1.121472,7.39152,1.172448,5.123088,2.80368,0.943056,40.52592,0.815616,5.86224,2.778192,1.8555264,0.6473952,8.971776,2.091323077,12.12967385,2.927852308,2.927852308,1.192054154,17.98537846,1.631232,9.620086154,1.714884923,6.859539692,3.136984615,1.212967385,38.89860923,1.693971692,7.528763077,3.785294769,2.927852308,1.35936,11.29314462
12-Jun,255,1.427328,38.232,1.962576,1.325376,0.611712,10.95984,0.866592,3.05856,8.9208,3.160512,8.66592,0.917568,22.42944,4.84272,6.88176,4.383936,1.5879024,0.611712,3.415392,2.091323077,37.85294769,4.600910769,2.509587692,1.108401231,8.783556923,1.443012923,3.973513846,9.829218462,4.287212308,9.410953846,1.192054154,23.63195077,6.483101538,8.574424615,6.587667692,2.572327385,1.166958277,4.475431385
13-Jun,256,1.172448,8.9208,4.84272,1.14696,0.586224,5.0976,0.713664,2.090016,3.05856,2.319408,4.84272,1.350864,6.62688,17.07696,23.95872,11.877408,1.427328,0.5938704,2.4774336,1.861277538,9.829218462,9.620086154,2.091323077,1.087488,5.019175385,1.317533538,3.346116923,3.346116923,3.241550769,5.019175385,1.714884923,9.620086154,18.82190769,23.84108308,12.56885169,2.321368615,1.135588431,3.492509538
14-Jun,257,1.01952,4.07808,25.74288,1.070496,1.937088,3.31344,0.6372,2.5488,1.860624,1.886112,2.80368,0.994032,3.8232,15.54768,5.0976,4.383936,1.2845952,1.2540096,2.2582368,1.673058462,5.019175385,33.46116923,1.944930462,3.346116923,3.973513846,0.857442462,3.764381538,2.300455385,2.655980308,3.346116923,1.317533538,5.646572308,15.68492308,5.855704615,5.081915077,2.085049108,3.325203692,3.262464
15-Jun,258,0.89208,10.1952,9.17568,1.40184,2.80368,2.5488,0.560736,7.90128,3.56832,1.580256,2.03904,0.739152,2.80368,12.23424,4.33296,2.574288,1.1877408,1.2922416,2.10276,1.505752615,10.03835077,13.5936,2.927852308,4.182646154,3.346116923,0.669223385,7.528763077,2.71872,2.258628923,2.300455385,1.087488,4.182646154,10.87488,4.810043077,3.492509538,1.907286646,3.074244923,3.074244923
16-Jun,259,0.815616,10.1952,3.8232,1.070496,2.80368,2.090016,0.484272,3.05856,2.80368,1.40184,1.478304,0.662688,3.05856,4.58784,7.90128,1.8121968,3.160512,0.7442496,2.1486384,1.443012923,9.829218462,5.855704615,2.070409846,3.764381538,2.71872,0.711049846,3.764381538,2.509587692,2.049496615,1.944930462,1.024748308,4.391778462,5.019175385,9.620086154,2.739633231,4.621824,1.629140677,3.262464
17-Jun,260,1.350864,5.60736,2.5488,0.943056,10.70496,1.809648,1.121472,2.217456,1.682208,6.168096,1.299888,0.611712,3.05856,3.05856,5.86224,1.4349744,1.8708192,0.6168096,1.7382816,2.049496615,9.201821538,4.182646154,1.777624615,11.71140923,2.509587692,0.878355692,3.136984615,1.924017231,9.850131692,1.756711385,0.982921846,4.182646154,3.346116923,6.901366154,2.279542154,2.760546462,1.258976492,2.530500923
18-Jun,261,0.917568,5.0976,2.064528,0.866592,6.372,1.554768,0.586224,1.78416,2.497824,2.67624,3.05856,0.586224,2.29392,11.21472,3.05856,1.2183264,1.4732064,8.767872,1.503792,1.505752615,7.737895385,3.346116923,1.631232,7.110498462,2.300455385,0.731963077,2.71872,2.509587692,3.848034462,4.810043077,0.941095385,3.346116923,16.52145231,3.973513846,1.974208985,2.572327385,15.45487754,2.216802462
19-Jun,262,0.76464,3.56832,1.835136,1.809648,2.80368,1.886112,1.197936,1.886112,7.13664,1.65672,1.988064,0.560736,1.835136,5.0976,4.84272,1.0653984,6.550416,6.040656,1.3839984,1.317533538,5.019175385,2.927852308,4.182646154,4.182646154,2.509587692,1.798537846,2.71872,6.901366154,2.593240615,2.71872,0.920182154,2.71872,6.064836923,5.228307692,1.733706831,10.51935508,11.18857846,2.049496615
20-Jun,263,0.688176,2.5488,1.605744,1.121472,1.758672,4.58784,3.8232,1.52928,3.31344,1.503792,1.40184,0.50976,1.52928,3.31344,2.80368,0.9634464,4.20552,1.389096,7.442496,1.233880615,3.764381538,2.509587692,2.300455385,2.927852308,4.810043077,3.764381538,2.509587692,3.555249231,2.614153846,1.903104,0.857442462,2.300455385,3.764381538,3.346116923,1.578948923,5.813878154,3.617988923,7.758808615
21-Jun,264,0.662688,2.013552,1.376352,0.89208,1.248912,3.8232,1.52928,1.40184,2.268432,1.325376,1.172448,0.433296,1.325376,2.80368,16.31232,1.0016784,2.778192,0.9277632,4.20552,1.150227692,3.136984615,2.300455385,1.756711385,2.300455385,4.391778462,2.300455385,2.300455385,2.509587692,2.216802462,1.610318769,0.794702769,2.091323077,2.927852308,23.42281846,1.767168,5.311960615,2.572327385,5.040088615
22-Jun,265,0.688176,2.395872,1.248912,1.045008,1.14696,2.090016,3.31344,2.80368,1.809648,1.121472,1.121472,0.407808,1.707696,2.29392,9.68544,1.414584,2.574288,0.7544448,2.2200048,1.171140923,3.346116923,2.028583385,1.924017231,2.300455385,2.71872,4.600910769,3.555249231,2.091323077,1.882190769,1.589405538,0.773789538,2.509587692,2.509587692,14.22099692,2.174976,4.454518154,2.045313969,3.074244923
23-Jun,266,1.172448,6.372,1.121472,1.65672,0.89208,1.707696,2.446848,5.86224,1.478304,2.446848,3.31344,0.407808,9.43056,2.03904,9.43056,1.070496,14.579136,0.7315056,1.6643664,1.986756923,8.574424615,1.819451077,2.927852308,1.861277538,2.300455385,3.346116923,5.646572308,1.819451077,3.492509538,5.43744,0.731963077,3.136984615,2.028583385,11.92054154,1.637505969,16.47962585,1.850820923,2.384108308
24-Jun,267,1.40184,6.88176,0.994032,0.994032,0.76464,1.452816,1.197936,5.0976,1.2744,7.034688,13.76352,0.38232,5.86224,1.886112,5.60736,0.8946288,16.210368,0.7722864,1.3941936,1.986756923,9.201821538,1.610318769,1.798537846,1.610318769,2.070409846,1.819451077,3.973513846,1.380273231,9.808305231,20.91323077,0.711049846,3.973513846,1.819451077,6.692233846,1.376090585,33.25203692,1.829907692,2.022309415
25-Jun,268,0.89208,2.80368,0.943056,1.095984,0.662688,1.223424,0.866592,3.56832,1.14696,3.772224,14.78304,0.917568,18.09648,12.23424,3.56832,0.8207136,4.256496,0.7799328,2.1511872,1.254793846,4.182646154,1.505752615,2.091323077,1.380273231,1.819451077,1.589405538,3.346116923,1.171140923,6.002097231,19.44930462,1.087488,9.829218462,17.56711385,4.600910769,1.256885169,7.696068923,2.064135877,3.074244923
26-Jun,269,0.688176,3.56832,0.917568,0.943056,0.586224,22.9392,0.586224,2.090016,0.968544,2.395872,15.80256,4.84272,13.50864,6.62688,2.5488,0.7620912,2.625264,0.6448464,1.7918064,0.982921846,4.810043077,1.422099692,1.861277538,1.254793846,23.84108308,1.254793846,2.509587692,1.192054154,4.098993231,23.84108308,8.365292308,9.201821538,8.783556923,3.555249231,1.164866954,4.684563692,1.583131569,2.551414154
27-Jun,270,0.586224,9.43056,0.841104,0.841104,0.560736,15.2928,0.433296,1.733184,1.01952,2.472336,6.88176,23.70384,8.66592,3.56832,1.988064,0.7366032,2.268432,0.6779808,1.4247792,0.899268923,10.45661538,1.422099692,1.673058462,1.066574769,12.54793846,1.108401231,2.300455385,1.296620308,4.203559385,9.410953846,39.31687385,8.365292308,4.182646154,2.927852308,0.976647877,3.973513846,1.631232,1.965843692
28-Jun,271,0.535248,7.90128,0.76464,0.76464,0.50976,7.13664,0.407808,1.707696,0.943056,7.926768,3.56832,6.11712,41.03568,2.80368,6.88176,0.8946288,2.5207632,7.544448,1.2081312,0.815616,7.947027692,1.317533538,1.505752615,0.857442462,7.319630769,1.087488,2.300455385,1.338446769,11.60684308,4.810043077,6.901366154,37.64381538,2.927852308,6.901366154,1.189962831,3.743468308,12.54793846,1.744163446
29-Jun,272,0.586224,3.31344,0.790128,0.76464,0.535248,4.84272,0.38232,2.090016,5.35248,4.4604,2.80368,2.42136,22.17456,2.16648,10.45008,1.14696,15.343776,2.2302,2.5488,0.857442462,3.973513846,1.317533538,1.463926154,0.920182154,5.019175385,1.003835077,2.509587692,5.228307692,5.897531077,3.973513846,3.136984615,19.03104,2.300455385,9.620086154,1.355177354,20.01396185,4.433604923,4.349952
30-Jun,273,2.191968,2.319408,1.121472,0.866592,0.535248,6.372,0.356832,1.452816,3.05856,3.95064,8.41104,1.427328,17.33184,1.835136,4.84272,0.8614944,29.05632,1.1189232,8.02872,1.882190769,3.136984615,1.380273231,1.443012923,0.899268923,6.901366154,0.962008615,2.070409846,2.71872,5.144654769,13.80273231,2.091323077,15.05752615,2.028583385,4.600910769,1.079122708,23.63195077,2.551414154,6.922279385
